2022-05-30 03:34:28,723 - root - INFO - Use Cuda.
2022-05-30 03:34:28,724 - root - INFO - Namespace(balance_data=False, base_net=None, base_net_lr=None, batch_size=32, checkpoint_folder='models/crowdnew', dataset_type='voc', datasets=['CrowdHuman'], debug_steps=100, extra_layers_lr=None, freeze_base_net=False, freeze_net=False, gamma=0.1, gpu='3', loss='smoothl1', lr=0.001, mb2_width_mult=1.0, milestones='100,140', momentum=0.9, net='mb1-ssd-lite-025extra', num_epochs=160, num_workers=4, optimizer='SGD', pretrained_ssd=None, resume='models/crowdnew/mb1-ssd-lite-025extra-Epoch-5-Loss-4.91890507328267.pth', scheduler='multi-step', t_max=120, use_cuda=True, validation_dataset='CrowdHuman', validation_epochs=5, weight_decay=0.0005, width_mult=0.25)
2022-05-30 03:34:28,726 - root - INFO - Prepare training datasets.
2022-05-30 03:34:28,733 - root - INFO - No labels file, using default VOC classes.
2022-05-30 03:34:28,787 - root - INFO - Stored labels into file models/crowdnew/voc-model-labels.txt.
2022-05-30 03:34:28,789 - root - INFO - Train dataset size: 17821
2022-05-30 03:34:28,790 - root - INFO - Prepare Validation datasets.
2022-05-30 03:34:28,792 - root - INFO - No labels file, using default VOC classes.
2022-05-30 03:34:28,792 - root - INFO - validation dataset size: 1549
2022-05-30 03:34:28,792 - root - INFO - Build network.
2022-05-30 03:34:28,822 - root - INFO - Resume from the model models/crowdnew/mb1-ssd-lite-025extra-Epoch-5-Loss-4.91890507328267.pth
2022-05-30 03:34:28,870 - root - INFO - Took 0.05 seconds to load the model.
2022-05-30 03:34:32,355 - root - INFO - Learning rate: 0.001, Base net learning rate: 0.001, Extra Layers learning rate: 0.001.
2022-05-30 03:34:32,355 - root - INFO - Uses MultiStepLR scheduler.
2022-05-30 03:34:32,358 - root - INFO - Start training from epoch 0.
2022-05-30 03:36:51,765 - root - INFO - Epoch: 0, Step: 100, Average Loss: 4.7793, Average Regression Loss 2.6204, Average Classification Loss: 2.1589
2022-05-30 03:39:07,634 - root - INFO - Epoch: 0, Step: 200, Average Loss: 4.7422, Average Regression Loss 2.6062, Average Classification Loss: 2.1360
2022-05-30 03:41:32,765 - root - INFO - Epoch: 0, Step: 300, Average Loss: 4.7073, Average Regression Loss 2.5755, Average Classification Loss: 2.1318
2022-05-30 03:43:50,661 - root - INFO - Epoch: 0, Step: 400, Average Loss: 4.7095, Average Regression Loss 2.5774, Average Classification Loss: 2.1321
2022-05-30 03:46:16,021 - root - INFO - Epoch: 0, Step: 500, Average Loss: 4.6426, Average Regression Loss 2.5139, Average Classification Loss: 2.1287
2022-05-30 03:47:59,294 - root - INFO - Epoch: 0, Validation Loss: 4.7182, Validation Regression Loss 2.6113, Validation Classification Loss: 2.1069
2022-05-30 03:47:59,417 - root - INFO - Saved model models/crowdnew/mb1-ssd-lite-025extra-Epoch-0-Loss-4.718180140670465.pth
2022-05-30 03:50:23,178 - root - INFO - Epoch: 1, Step: 100, Average Loss: 4.7440, Average Regression Loss 2.5914, Average Classification Loss: 2.1525
2022-05-30 03:52:30,869 - root - INFO - Epoch: 1, Step: 200, Average Loss: 4.6959, Average Regression Loss 2.5642, Average Classification Loss: 2.1316
2022-05-30 03:54:42,233 - root - INFO - Epoch: 1, Step: 300, Average Loss: 4.7155, Average Regression Loss 2.5890, Average Classification Loss: 2.1265
2022-05-30 03:56:58,150 - root - INFO - Epoch: 1, Step: 400, Average Loss: 4.6983, Average Regression Loss 2.5739, Average Classification Loss: 2.1244
2022-05-30 03:59:08,785 - root - INFO - Epoch: 1, Step: 500, Average Loss: 4.6800, Average Regression Loss 2.5526, Average Classification Loss: 2.1274
2022-05-30 04:02:44,065 - root - INFO - Epoch: 2, Step: 100, Average Loss: 4.6713, Average Regression Loss 2.5246, Average Classification Loss: 2.1467
2022-05-30 04:05:02,613 - root - INFO - Epoch: 2, Step: 200, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 04:07:24,796 - root - INFO - Epoch: 2, Step: 300, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 04:09:50,244 - root - INFO - Epoch: 2, Step: 400, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 04:12:11,384 - root - INFO - Epoch: 2, Step: 500, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 04:15:58,276 - root - INFO - Epoch: 3, Step: 100, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 04:18:06,753 - root - INFO - Epoch: 3, Step: 200, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 04:20:23,266 - root - INFO - Epoch: 3, Step: 300, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 04:22:33,089 - root - INFO - Epoch: 3, Step: 400, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 04:24:55,054 - root - INFO - Epoch: 3, Step: 500, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 04:28:38,665 - root - INFO - Epoch: 4, Step: 100, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 04:31:11,027 - root - INFO - Epoch: 4, Step: 200, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 04:33:29,397 - root - INFO - Epoch: 4, Step: 300, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 04:35:53,002 - root - INFO - Epoch: 4, Step: 400, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 04:37:58,930 - root - INFO - Epoch: 4, Step: 500, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 04:41:28,605 - root - INFO - Epoch: 5, Step: 100, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 04:43:46,714 - root - INFO - Epoch: 5, Step: 200, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 04:46:03,682 - root - INFO - Epoch: 5, Step: 300, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 04:48:33,823 - root - INFO - Epoch: 5, Step: 400, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 04:50:47,458 - root - INFO - Epoch: 5, Step: 500, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 04:52:26,574 - root - INFO - Epoch: 5, Validation Loss: nan, Validation Regression Loss nan, Validation Classification Loss: nan
2022-05-30 04:52:26,671 - root - INFO - Saved model models/crowdnew/mb1-ssd-lite-025extra-Epoch-5-Loss-nan.pth
2022-05-30 04:54:36,756 - root - INFO - Epoch: 6, Step: 100, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 04:56:51,095 - root - INFO - Epoch: 6, Step: 200, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 04:59:20,363 - root - INFO - Epoch: 6, Step: 300, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 05:01:40,216 - root - INFO - Epoch: 6, Step: 400, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 05:03:52,581 - root - INFO - Epoch: 6, Step: 500, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 05:07:17,730 - root - INFO - Epoch: 7, Step: 100, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 05:09:39,410 - root - INFO - Epoch: 7, Step: 200, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 05:11:57,288 - root - INFO - Epoch: 7, Step: 300, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 05:14:07,052 - root - INFO - Epoch: 7, Step: 400, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 05:16:23,677 - root - INFO - Epoch: 7, Step: 500, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 05:20:04,578 - root - INFO - Epoch: 8, Step: 100, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 05:22:30,410 - root - INFO - Epoch: 8, Step: 200, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 05:24:43,420 - root - INFO - Epoch: 8, Step: 300, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 05:26:58,586 - root - INFO - Epoch: 8, Step: 400, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 05:29:08,580 - root - INFO - Epoch: 8, Step: 500, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 05:32:43,873 - root - INFO - Epoch: 9, Step: 100, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 05:34:59,888 - root - INFO - Epoch: 9, Step: 200, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 05:37:18,078 - root - INFO - Epoch: 9, Step: 300, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
2022-05-30 05:39:30,520 - root - INFO - Epoch: 9, Step: 400, Average Loss: nan, Average Regression Loss nan, Average Classification Loss: nan
